"","Airline","Aircraft","FlightDuration","TravelMonth","IsInternational","SeatsEconomy","SeatsPremium","PitchEconomy","PitchPremium","WidthEconomy","WidthPremium","PriceEconomy","PricePremium","PriceRelative","SeatsTotal","FractionPremiumSeats","PitchDifference","WidthDifference"
"372","Singapore","Boeing",13.91,"Jul","International",184,28,32,38,19,20,794,1408,0.77,212,0.13,6,1
"373","Singapore","AirBus",12.66,"Jul","International",333,36,32,38,19,20,690,1110,0.61,369,0.1,6,1
"374","Singapore","AirBus",12.66,"Aug","International",333,36,32,38,19,20,690,1110,0.61,369,0.1,6,1
"375","Singapore","AirBus",12.66,"Sep","International",333,36,32,38,19,20,690,1110,0.61,369,0.1,6,1
"376","Singapore","AirBus",12.66,"Oct","International",333,36,32,38,19,20,690,1110,0.61,369,0.1,6,1
"377","Singapore","AirBus",6.5,"Jul","International",333,36,32,38,19,20,690,1110,0.61,369,0.1,6,1
"378","Singapore","AirBus",6.5,"Aug","International",333,36,32,38,19,20,690,1110,0.61,369,0.1,6,1
"379","Singapore","AirBus",6.5,"Sep","International",333,36,32,38,19,20,690,1110,0.61,369,0.1,6,1
"380","Singapore","AirBus",6.5,"Oct","International",333,36,32,38,19,20,690,1110,0.61,369,0.1,6,1
"381","Singapore","Boeing",12.41,"Aug","International",184,28,32,38,19,20,1215,1947,0.6,212,0.13,6,1
"382","Singapore","Boeing",12.41,"Sep","International",184,28,32,38,19,20,1215,1947,0.6,212,0.13,6,1
"383","Singapore","Boeing",12.41,"Oct","International",184,28,32,38,19,20,1215,1947,0.6,212,0.13,6,1
"384","Singapore","Boeing",10.83,"Jul","International",184,28,32,38,19,20,876,1356,0.55,212,0.13,6,1
"385","Singapore","Boeing",10.83,"Aug","International",184,28,32,38,19,20,609,900,0.48,212,0.13,6,1
"386","Singapore","Boeing",10.83,"Sep","International",184,28,32,38,19,20,609,900,0.48,212,0.13,6,1
"387","Singapore","Boeing",14.66,"Aug","International",184,28,32,38,19,20,1406,1584,0.13,212,0.13,6,1
"388","Singapore","Boeing",14.66,"Sep","International",184,28,32,38,19,20,1406,1584,0.13,212,0.13,6,1
"389","Singapore","Boeing",14.66,"Oct","International",184,28,32,38,19,20,1406,1584,0.13,212,0.13,6,1
"390","Singapore","Boeing",9.66,"Aug","International",184,28,32,38,19,20,1247,1407,0.13,212,0.13,6,1
"391","Singapore","Boeing",9.66,"Sep","International",184,28,32,38,19,20,1247,1407,0.13,212,0.13,6,1
"392","Singapore","Boeing",9.66,"Oct","International",184,28,32,38,19,20,1247,1407,0.13,212,0.13,6,1
"393","Singapore","Boeing",3.83,"Jul","International",184,28,32,38,19,20,563,619,0.1,212,0.13,6,1
"394","Singapore","Boeing",3.83,"Aug","International",184,28,32,38,19,20,563,619,0.1,212,0.13,6,1
"395","Singapore","Boeing",3.83,"Sep","International",184,28,32,38,19,20,563,619,0.1,212,0.13,6,1
"396","Singapore","Boeing",3.83,"Oct","International",184,28,32,38,19,20,563,619,0.1,212,0.13,6,1
"397","Singapore","Boeing",12.75,"Aug","International",184,28,32,38,19,20,1431,1564,0.09,212,0.13,6,1
"398","Singapore","Boeing",12.75,"Sep","International",184,28,32,38,19,20,1431,1564,0.09,212,0.13,6,1
"399","Singapore","Boeing",12.75,"Oct","International",184,28,32,38,19,20,1431,1564,0.09,212,0.13,6,1
"400","Singapore","Boeing",12.75,"Jul","International",184,28,32,38,19,20,1431,1564,0.09,212,0.13,6,1
"401","Virgin","Boeing",11.25,"Jul","International",198,35,31,38,18,21,574,1619,1.82,233,0.15,7,3
"402","Virgin","Boeing",11.25,"Aug","International",198,35,31,38,18,21,574,1619,1.82,233,0.15,7,3
"403","Virgin","Boeing",11.25,"Sep","International",198,35,31,38,18,21,574,1619,1.82,233,0.15,7,3
"404","Virgin","Boeing",11.25,"Oct","International",198,35,31,38,18,21,574,1619,1.82,233,0.15,7,3
